time,ax,ay,az,aT
461.074948,0.0107,0.0015,-0.0086,0.014
462.075360,0.0182,0.0406,-0.0374,0.058
463.076952,-0.0185,0.0385,-0.0025,0.043
464.077460,-0.0959,-0.0034,-0.0265,0.100
465.078415,0.0089,0.0099,0.0616,0.063
466.078879,-0.0543,0.0142,-0.0016,0.056
467.079593,0.0302,0.0291,0.0540,0.068
468.080628,-0.0561,-0.0190,-0.0263,0.065
469.085763,-0.0326,0.0328,-0.1515,0.158
470.082037,-0.0391,0.0471,0.0324,0.069
471.085240,0.0178,0.0010,0.0602,0.063
472.100934,0.0706,0.0482,0.0082,0.086
473.099794,-0.0349,0.0016,0.0246,0.043
474.084789,-0.0643,-0.0140,-0.0323,0.073
475.085934,-0.2846,-0.1351,0.4188,0.524
476.086585,0.2203,0.0539,0.2991,0.375
477.087492,0.1495,-0.0803,-0.4081,0.442
478.087915,0.0375,-0.0855,-0.1721,0.196
479.088770,0.0885,-0.0713,0.0223,0.116
480.087974,0.0590,-0.1088,-0.3093,0.333
481.088808,0.0397,0.1226,-0.1339,0.186
482.088954,-0.3703,-0.0964,0.0985,0.395
483.092351,-0.1916,-0.0215,-0.3228,0.376
484.090545,0.0047,-0.0585,-0.4039,0.408
485.093525,-0.0175,-0.0213,-0.3176,0.319
486.093957,0.0313,0.1853,0.4178,0.458
487.099157,-0.2207,0.0281,-0.5556,0.598
488.100633,0.0883,-0.0252,0.6869,0.693
489.107835,-0.2956,-0.1735,-0.9244,0.986
490.108788,-0.1924,-0.0425,-0.1736,0.263
491.116841,0.0743,0.0748,0.5652,0.575
492.126513,0.0637,-0.1140,-0.2769,0.306
493.135611,0.0455,0.0835,0.0263,0.099
494.105648,-0.0290,0.0369,0.2121,0.217
495.106048,-0.2285,0.0074,-0.2051,0.307
496.106906,0.3548,-0.0648,0.1972,0.411
497.107664,0.0500,0.0920,-0.1058,0.149
498.108928,-0.1816,0.0652,-0.0530,0.200
499.109283,-0.0906,0.0371,0.3488,0.362
500.110024,-0.0999,0.0206,-0.5380,0.548
501.111269,0.1044,-0.0195,0.0732,0.129
502.111235,0.1836,0.0107,0.0450,0.189
503.112045,-0.1269,-0.0116,0.0582,0.140
